player,money
0,192.5
1,114.5
2,0.0
3,0.0
4,73.5
5,143.12790697674419
6,0.0
7,156.5
8,0.0
9,192.82558139534882
10,294.2906976744186
11,149.96511627906983
12,137.7906976744186
13,29.209302325581376
14,218.0
15,0.0
16,0.0
17,0.0
18,350.0
19,200.0
20,0.0
21,267.0
22,104.2906976744186
23,0.0
24,0.0
25,182.7906976744186
26,0.0
27,0.0
28,95.7906976744186
29,0.0
30,266.5
31,0.0
32,203.83720930232562
33,164.5813953488372
34,231.0
35,0.0
36,188.7906976744186
37,323.6511627906975
38,0.0
39,220.5
40,84.2906976744186
41,0.0
42,223.2906976744186
43,292.7906976744186
44,0.0
45,0.0
46,83.7906976744186
47,145.0
48,171.2093023255814
49,61.58139534883719
50,8.372093023255815
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,181.0
57,0.0
58,267.0
59,88.58139534883719
60,0.0
61,71.58139534883719
62,0.0
63,144.5
64,0.0
65,195.7906976744186
66,0.0
67,0.0
68,262.0
69,0.0
70,36.290697674418595
71,333.2906976744186
72,171.5
73,59.709302325581405
74,0.0
75,162.2906976744186
76,235.5
77,139.7906976744186
78,0.0
79,0.0
80,130.0
81,0.0
82,179.2906976744186
83,0.0
84,0.0
85,0.0
86,293.0
87,103.2906976744186
88,0.0
89,148.2906976744186
90,0.0
91,153.2906976744186
92,0.0
93,248.2906976744186
94,104.58139534883719
95,308.0
96,81.58139534883719
97,134.2906976744186
98,196.0
99,0.0
